Date,Region,pm25,pm10,o3,no2,so2,co,aqi
2017-01-17,West,12.5,26.92,51.25,34.83,5.17,0.88,50.21
2017-01-18,West,11.54,24.29,43.12,36.0,7.04,0.73,47.42
2017-01-19,West,11.25,23.54,28.42,38.08,9.33,0.39,46.96
2017-01-20,West,9.0,19.12,19.08,24.29,4.79,0.44,37.46
2017-01-21,West,10.36,21.82,23.41,32.0,6.55,0.37,43.45
2017-01-22,West,6.75,16.83,34.75,9.58,3.46,0.48,28.75
2017-01-23,West,5.42,14.5,21.38,12.17,3.0,0.43,22.17
2017-01-24,West,4.0,10.17,26.21,7.46,2.79,0.57,16.92
2017-01-25,West,4.12,11.25,36.54,9.88,2.54,0.5,19.42
2017-01-26,West,6.46,16.46,33.92,11.0,3.0,0.5,27.25
2017-01-27,West,8.54,21.17,45.29,7.54,3.0,0.89,35.96
2017-01-28,West,11.54,26.25,57.04,6.83,3.33,1.05,47.83
2017-01-29,West,7.62,18.12,58.38,6.75,4.0,1.12,31.83
2017-01-30,West,7.88,19.75,28.46,7.08,4.0,0.64,33.29
2017-01-31,West,7.0,17.42,23.71,9.46,4.0,0.51,28.71
2017-02-01,West,8.96,22.33,37.62,10.58,3.08,0.45,37.21
2017-02-02,West,14.04,28.83,58.62,14.0,4.08,0.57,53.08
2017-02-03,West,13.17,24.58,53.42,16.54,6.71,0.55,51.58
2017-02-04,West,8.78,19.74,32.17,21.35,7.87,0.55,36.48
2017-02-05,West,8.71,19.29,36.83,13.0,6.38,0.61,35.96
2017-02-06,West,7.58,16.58,44.5,12.08,5.0,0.63,32.79
2017-02-07,West,8.0,20.83,47.0,17.29,4.92,0.69,33.25
2017-02-08,West,11.46,23.83,45.42,23.21,4.0,0.8,47.29
2017-02-09,West,15.71,28.42,39.67,28.46,4.0,0.94,55.0
2017-02-10,West,15.71,29.71,57.42,10.88,4.0,0.74,55.0
2017-02-11,West,11.29,26.17,67.0,7.71,4.0,0.65,46.42
2017-02-12,West,11.0,26.5,68.0,6.0,4.0,0.7,44.5
2017-02-14,West,12.5,30.9,70.1,7.6,3.0,0.68,51.3
2017-02-15,West,7.38,18.88,52.5,9.25,3.0,0.76,31.58
2017-02-16,West,8.71,22.08,56.25,7.88,3.38,0.79,35.83
2017-02-17,West,11.58,30.79,52.29,7.75,4.0,0.72,47.83
2017-02-18,West,9.83,27.04,39.46,8.42,4.0,0.62,41.08
2017-02-19,West,9.79,25.12,46.08,7.58,4.0,0.61,41.83
2017-02-20,West,9.71,24.92,28.38,13.71,4.0,0.67,40.75
2017-02-21,West,8.5,20.21,23.33,13.0,5.21,0.51,35.58
2017-02-22,West,9.33,20.75,22.92,19.33,5.12,0.49,38.5
2017-02-23,West,12.75,26.92,26.33,30.33,7.42,0.46,50.17
