Country,Region,Date,AQI,Temperature,RelativeHumidity,WindSpeed
Singapore,North,2016-04-06,55.3,27.55,82.55,7.72
Singapore,North-East,2016-04-12,70.8,28.05,84.49,7.95
Singapore,West,2016-04-13,62.78,27.57,86.84,7.5
Singapore,Central,2016-04-14,65.62,28.28,83.08,6.61
Singapore,East,2016-04-15,59.22,27.92,86.11,5.44
Singapore,North,2016-04-16,55.73,27.93,84.67,5.01
Singapore,North-East,2016-04-17,57.09,27.79,85.3,5.02
Singapore,West,2016-04-18,57.43,28.49,81.81,7.13
Singapore,Central,2016-04-19,63.25,28.06,83.67,9.75
Singapore,East,2016-04-20,63.12,27.98,83.85,7.76
Singapore,North,2016-04-21,59.68,28.18,81.3,7.99
Singapore,North-East,2016-04-22,58.03,27.48,86.08,5.94
Singapore,West,2016-04-23,57.73,27.03,87.34,4.62
Singapore,East,2016-04-25,48.89,26.72,89.05,4.33
Singapore,North,2016-04-26,56.91,27.31,86.02,3.62
Singapore,North-East,2016-04-27,62.52,27.86,84.85,3.96
Singapore,West,2016-04-28,64.02,27.39,86.48,4.98
Singapore,Central,2016-04-29,64.78,27.17,87.99,4.77
Singapore,East,2016-04-30,70.4,27.1,88.32,4.28
Singapore,North,2016-05-01,67.88,27.4,85.71,4.38
Singapore,North-East,2016-05-02,52.5,27.22,85.86,5.62
Singapore,West,2016-05-03,55.46,27.87,83.72,5.81
Singapore,Central,2016-05-04,47.33,28.04,84.88,4.6
Singapore,East,2016-05-05,49.9,27.69,85.46,4.78
Singapore,North,2016-05-06,59.2,27.32,86.61,4.82
Singapore,North-East,2016-05-07,59.91,27.12,88.08,5.24
